"icd9","condition_code","condition"
"20084","10","Lymphoma and Other Cancers"
"20085","10","Lymphoma and Other Cancers"
"20086","10","Lymphoma and Other Cancers"
"20087","10","Lymphoma and Other Cancers"
"20088","10","Lymphoma and Other Cancers"
"20100","10","Lymphoma and Other Cancers"
"20101","10","Lymphoma and Other Cancers"
"20102","10","Lymphoma and Other Cancers"
"20103","10","Lymphoma and Other Cancers"
"20104","10","Lymphoma and Other Cancers"
"20105","10","Lymphoma and Other Cancers"
"20106","10","Lymphoma and Other Cancers"
"20107","10","Lymphoma and Other Cancers"
"20108","10","Lymphoma and Other Cancers"
"20110","10","Lymphoma and Other Cancers"
"20111","10","Lymphoma and Other Cancers"
"20112","10","Lymphoma and Other Cancers"
"20113","10","Lymphoma and Other Cancers"
"20114","10","Lymphoma and Other Cancers"
"20115","10","Lymphoma and Other Cancers"
"20116","10","Lymphoma and Other Cancers"
"20117","10","Lymphoma and Other Cancers"
"20118","10","Lymphoma and Other Cancers"
"20120","10","Lymphoma and Other Cancers"
"20121","10","Lymphoma and Other Cancers"
"20122","10","Lymphoma and Other Cancers"
"20123","10","Lymphoma and Other Cancers"
"20124","10","Lymphoma and Other Cancers"
"20125","10","Lymphoma and Other Cancers"
"20126","10","Lymphoma and Other Cancers"
"20127","10","Lymphoma and Other Cancers"
"20128","10","Lymphoma and Other Cancers"
"20140","10","Lymphoma and Other Cancers"
"20141","10","Lymphoma and Other Cancers"
"20142","10","Lymphoma and Other Cancers"
"20143","10","Lymphoma and Other Cancers"
"20144","10","Lymphoma and Other Cancers"
"20145","10","Lymphoma and Other Cancers"
"20146","10","Lymphoma and Other Cancers"
"20147","10","Lymphoma and Other Cancers"
"20148","10","Lymphoma and Other Cancers"
"20150","10","Lymphoma and Other Cancers"
"20151","10","Lymphoma and Other Cancers"
"20152","10","Lymphoma and Other Cancers"
"20153","10","Lymphoma and Other Cancers"
"20154","10","Lymphoma and Other Cancers"
"20155","10","Lymphoma and Other Cancers"
"20156","10","Lymphoma and Other Cancers"
"20157","10","Lymphoma and Other Cancers"
"20158","10","Lymphoma and Other Cancers"
"20160","10","Lymphoma and Other Cancers"
"20161","10","Lymphoma and Other Cancers"
"20162","10","Lymphoma and Other Cancers"
"20163","10","Lymphoma and Other Cancers"
"20164","10","Lymphoma and Other Cancers"
"20165","10","Lymphoma and Other Cancers"
"20166","10","Lymphoma and Other Cancers"
"20167","10","Lymphoma and Other Cancers"
"20168","10","Lymphoma and Other Cancers"
"20170","10","Lymphoma and Other Cancers"
"20171","10","Lymphoma and Other Cancers"
"20172","10","Lymphoma and Other Cancers"
"20173","10","Lymphoma and Other Cancers"
"20174","10","Lymphoma and Other Cancers"
"20175","10","Lymphoma and Other Cancers"
"20176","10","Lymphoma and Other Cancers"
"20177","10","Lymphoma and Other Cancers"
"20178","10","Lymphoma and Other Cancers"
"20190","10","Lymphoma and Other Cancers"
"20191","10","Lymphoma and Other Cancers"
"20192","10","Lymphoma and Other Cancers"
"20193","10","Lymphoma and Other Cancers"
"20194","10","Lymphoma and Other Cancers"
"20195","10","Lymphoma and Other Cancers"
"20196","10","Lymphoma and Other Cancers"
"20197","10","Lymphoma and Other Cancers"
"20198","10","Lymphoma and Other Cancers"
"20200","10","Lymphoma and Other Cancers"
"20201","10","Lymphoma and Other Cancers"
"20202","10","Lymphoma and Other Cancers"
"20203","10","Lymphoma and Other Cancers"
"20204","10","Lymphoma and Other Cancers"
"20205","10","Lymphoma and Other Cancers"
"20206","10","Lymphoma and Other Cancers"
"20207","10","Lymphoma and Other Cancers"
"20208","10","Lymphoma and Other Cancers"
"20210","10","Lymphoma and Other Cancers"
"20211","10","Lymphoma and Other Cancers"
"20212","10","Lymphoma and Other Cancers"
"20213","10","Lymphoma and Other Cancers"
"20214","10","Lymphoma and Other Cancers"
"20215","10","Lymphoma and Other Cancers"
"20216","10","Lymphoma and Other Cancers"
"20217","10","Lymphoma and Other Cancers"
"20218","10","Lymphoma and Other Cancers"
"20220","10","Lymphoma and Other Cancers"
"20221","10","Lymphoma and Other Cancers"
"20222","10","Lymphoma and Other Cancers"
"20223","10","Lymphoma and Other Cancers"
"20224","10","Lymphoma and Other Cancers"
"20225","10","Lymphoma and Other Cancers"
"20226","10","Lymphoma and Other Cancers"
"20227","10","Lymphoma and Other Cancers"
"20228","10","Lymphoma and Other Cancers"
"20230","10","Lymphoma and Other Cancers"
"20231","10","Lymphoma and Other Cancers"
"20232","10","Lymphoma and Other Cancers"
"20233","10","Lymphoma and Other Cancers"
"20234","10","Lymphoma and Other Cancers"
"20235","10","Lymphoma and Other Cancers"
"20236","10","Lymphoma and Other Cancers"
"20237","10","Lymphoma and Other Cancers"
"20238","10","Lymphoma and Other Cancers"
"20240","10","Lymphoma and Other Cancers"
"20241","10","Lymphoma and Other Cancers"
"20242","10","Lymphoma and Other Cancers"
"20243","10","Lymphoma and Other Cancers"
"20244","10","Lymphoma and Other Cancers"
"20245","10","Lymphoma and Other Cancers"
"20246","10","Lymphoma and Other Cancers"
"20247","10","Lymphoma and Other Cancers"
"20248","10","Lymphoma and Other Cancers"
"20250","10","Lymphoma and Other Cancers"
"20251","10","Lymphoma and Other Cancers"
"20252","10","Lymphoma and Other Cancers"
"20253","10","Lymphoma and Other Cancers"
"20254","10","Lymphoma and Other Cancers"
"20255","10","Lymphoma and Other Cancers"
"20256","10","Lymphoma and Other Cancers"
"20257","10","Lymphoma and Other Cancers"
"20258","10","Lymphoma and Other Cancers"
"20260","10","Lymphoma and Other Cancers"
"20261","10","Lymphoma and Other Cancers"
"20262","10","Lymphoma and Other Cancers"
"20263","10","Lymphoma and Other Cancers"
"20264","10","Lymphoma and Other Cancers"
"20265","10","Lymphoma and Other Cancers"
"20266","10","Lymphoma and Other Cancers"
"20267","10","Lymphoma and Other Cancers"
"20268","10","Lymphoma and Other Cancers"
"20270","10","Lymphoma and Other Cancers"
"20271","10","Lymphoma and Other Cancers"
"20272","10","Lymphoma and Other Cancers"
"20273","10","Lymphoma and Other Cancers"
"20274","10","Lymphoma and Other Cancers"
"20275","10","Lymphoma and Other Cancers"
"20276","10","Lymphoma and Other Cancers"
"20277","10","Lymphoma and Other Cancers"
"20278","10","Lymphoma and Other Cancers"
"20280","10","Lymphoma and Other Cancers"
"20281","10","Lymphoma and Other Cancers"
"20282","10","Lymphoma and Other Cancers"
"20283","10","Lymphoma and Other Cancers"
"20284","10","Lymphoma and Other Cancers"
"20285","10","Lymphoma and Other Cancers"
"20286","10","Lymphoma and Other Cancers"
"20287","10","Lymphoma and Other Cancers"
"20288","10","Lymphoma and Other Cancers"
"20290","10","Lymphoma and Other Cancers"
"20291","10","Lymphoma and Other Cancers"
"20292","10","Lymphoma and Other Cancers"
"20293","10","Lymphoma and Other Cancers"
"20294","10","Lymphoma and Other Cancers"
"20295","10","Lymphoma and Other Cancers"
"20296","10","Lymphoma and Other Cancers"
"20297","10","Lymphoma and Other Cancers"
"20298","10","Lymphoma and Other Cancers"
"20410","10","Lymphoma and Other Cancers"
"20411","10","Lymphoma and Other Cancers"
"20412","10","Lymphoma and Other Cancers"
"20420","10","Lymphoma and Other Cancers"
"20421","10","Lymphoma and Other Cancers"
"20422","10","Lymphoma and Other Cancers"
"20480","10","Lymphoma and Other Cancers"
"20481","10","Lymphoma and Other Cancers"
"20482","10","Lymphoma and Other Cancers"
"20490","10","Lymphoma and Other Cancers"
"20491","10","Lymphoma and Other Cancers"
"20492","10","Lymphoma and Other Cancers"
"20810","10","Lymphoma and Other Cancers"
"20811","10","Lymphoma and Other Cancers"
"20812","10","Lymphoma and Other Cancers"
"20820","10","Lymphoma and Other Cancers"
"20821","10","Lymphoma and Other Cancers"
"20822","10","Lymphoma and Other Cancers"
"20880","10","Lymphoma and Other Cancers"
"20881","10","Lymphoma and Other Cancers"
"20882","10","Lymphoma and Other Cancers"
"20890","10","Lymphoma and Other Cancers"
"20891","10","Lymphoma and Other Cancers"
"20892","10","Lymphoma and Other Cancers"
"43301","100","Ischemic or Unspecified Stroke"
"43311","100","Ischemic or Unspecified Stroke"
"43321","100","Ischemic or Unspecified Stroke"
"43331","100","Ischemic or Unspecified Stroke"
"43381","100","Ischemic or Unspecified Stroke"
"43391","100","Ischemic or Unspecified Stroke"
"43401","100","Ischemic or Unspecified Stroke"
"43411","100","Ischemic or Unspecified Stroke"
"43491","100","Ischemic or Unspecified Stroke"
"436","100","Ischemic or Unspecified Stroke"
"99702","100","Ischemic or Unspecified Stroke"
"34200","103","Hemiplegia/Hemiparesis"
"34201","103","Hemiplegia/Hemiparesis"
"34202","103","Hemiplegia/Hemiparesis"
"34210","103","Hemiplegia/Hemiparesis"
"34211","103","Hemiplegia/Hemiparesis"
"34212","103","Hemiplegia/Hemiparesis"
"34280","103","Hemiplegia/Hemiparesis"
"34281","103","Hemiplegia/Hemiparesis"
"34282","103","Hemiplegia/Hemiparesis"
"34290","103","Hemiplegia/Hemiparesis"
"34291","103","Hemiplegia/Hemiparesis"
"34292","103","Hemiplegia/Hemiparesis"
"43820","103","Hemiplegia/Hemiparesis"
"43821","103","Hemiplegia/Hemiparesis"
"43822","103","Hemiplegia/Hemiparesis"
"3442","104","Monoplegia, Other Paralytic Syndromes"
"34430","104","Monoplegia, Other Paralytic Syndromes"
"34431","104","Monoplegia, Other Paralytic Syndromes"
"34432","104","Monoplegia, Other Paralytic Syndromes"
"34440","104","Monoplegia, Other Paralytic Syndromes"
"34441","104","Monoplegia, Other Paralytic Syndromes"
"34442","104","Monoplegia, Other Paralytic Syndromes"
"3445","104","Monoplegia, Other Paralytic Syndromes"
"34481","104","Monoplegia, Other Paralytic Syndromes"
"34489","104","Monoplegia, Other Paralytic Syndromes"
"3449","104","Monoplegia, Other Paralytic Syndromes"
"43830","104","Monoplegia, Other Paralytic Syndromes"
"43831","104","Monoplegia, Other Paralytic Syndromes"
"43832","104","Monoplegia, Other Paralytic Syndromes"
"43840","104","Monoplegia, Other Paralytic Syndromes"
"43841","104","Monoplegia, Other Paralytic Syndromes"
"43842","104","Monoplegia, Other Paralytic Syndromes"
"43850","104","Monoplegia, Other Paralytic Syndromes"
"43851","104","Monoplegia, Other Paralytic Syndromes"
"43852","104","Monoplegia, Other Paralytic Syndromes"
"43853","104","Monoplegia, Other Paralytic Syndromes"
"0400","106","Atherosclerosis of the Extremities with Ulceration or Gangrene"
"44023","106","Atherosclerosis of the Extremities with Ulceration or Gangrene"
"44024","106","Atherosclerosis of the Extremities with Ulceration or Gangrene"
"7854","106","Atherosclerosis of the Extremities with Ulceration or Gangrene"
"41511","107","Vascular Disease with Complications"
"41512","107","Vascular Disease with Complications"
"41513","107","Vascular Disease with Complications"
"41519","107","Vascular Disease with Complications"
"4162","107","Vascular Disease with Complications"
"44100","107","Vascular Disease with Complications"
"44101","107","Vascular Disease with Complications"
"44102","107","Vascular Disease with Complications"
"44103","107","Vascular Disease with Complications"
"4411","107","Vascular Disease with Complications"
"4413","107","Vascular Disease with Complications"
"4415","107","Vascular Disease with Complications"
"4416","107","Vascular Disease with Complications"
"44321","107","Vascular Disease with Complications"
"44322","107","Vascular Disease with Complications"
"44323","107","Vascular Disease with Complications"
"44324","107","Vascular Disease with Complications"
"44329","107","Vascular Disease with Complications"
"44401","107","Vascular Disease with Complications"
"44409","107","Vascular Disease with Complications"
"4441","107","Vascular Disease with Complications"
"44421","107","Vascular Disease with Complications"
"44422","107","Vascular Disease with Complications"
"44481","107","Vascular Disease with Complications"
"44489","107","Vascular Disease with Complications"
"4449","107","Vascular Disease with Complications"
"44501","107","Vascular Disease with Complications"
"44502","107","Vascular Disease with Complications"
"44581","107","Vascular Disease with Complications"
"44589","107","Vascular Disease with Complications"
"449","107","Vascular Disease with Complications"
"4540","107","Vascular Disease with Complications"
"4542","107","Vascular Disease with Complications"
"45911","107","Vascular Disease with Complications"
"45913","107","Vascular Disease with Complications"
"45931","107","Vascular Disease with Complications"
"45933","107","Vascular Disease with Complications"
"5570","107","Vascular Disease with Complications"
"59381","107","Vascular Disease with Complications"
"4400","108","Vascular Disease"
"4401","108","Vascular Disease"
"44020","108","Vascular Disease"
"44021","108","Vascular Disease"
"44022","108","Vascular Disease"
"44029","108","Vascular Disease"
"44030","108","Vascular Disease"
"44031","108","Vascular Disease"
"44032","108","Vascular Disease"
"4404","108","Vascular Disease"
"4412","108","Vascular Disease"
"4414","108","Vascular Disease"
"4417","108","Vascular Disease"
"4419","108","Vascular Disease"
"4420","108","Vascular Disease"
"4421","108","Vascular Disease"
"4422","108","Vascular Disease"
"4423","108","Vascular Disease"
"44281","108","Vascular Disease"
"44282","108","Vascular Disease"
"44283","108","Vascular Disease"
"44284","108","Vascular Disease"
"44289","108","Vascular Disease"
"4429","108","Vascular Disease"
"4431","108","Vascular Disease"
"44381","108","Vascular Disease"
"44382","108","Vascular Disease"
"44389","108","Vascular Disease"
"4439","108","Vascular Disease"
"4470","108","Vascular Disease"
"4471","108","Vascular Disease"
"4472","108","Vascular Disease"
"4473","108","Vascular Disease"
"4474","108","Vascular Disease"
"4475","108","Vascular Disease"
"4476","108","Vascular Disease"
"44770","108","Vascular Disease"
"44771","108","Vascular Disease"
"44772","108","Vascular Disease"
"44773","108","Vascular Disease"
"4478","108","Vascular Disease"
"4479","108","Vascular Disease"
"4480","108","Vascular Disease"
"45111","108","Vascular Disease"
"45119","108","Vascular Disease"
"45181","108","Vascular Disease"
"45183","108","Vascular Disease"
"4530","108","Vascular Disease"
"4532","108","Vascular Disease"
"4533","108","Vascular Disease"
"45340","108","Vascular Disease"
"45341","108","Vascular Disease"
"45342","108","Vascular Disease"
"45350","108","Vascular Disease"
"45351","108","Vascular Disease"
"45352","108","Vascular Disease"
"45372","108","Vascular Disease"
"45374","108","Vascular Disease"
"45375","108","Vascular Disease"
"45376","108","Vascular Disease"
"45377","108","Vascular Disease"
"45382","108","Vascular Disease"
"45384","108","Vascular Disease"
"45385","108","Vascular Disease"
"45386","108","Vascular Disease"
"45387","108","Vascular Disease"
"5571","108","Vascular Disease"
"5579","108","Vascular Disease"
"1410","11","Colorectal, Bladder, and Other Cancers"
"1411","11","Colorectal, Bladder, and Other Cancers"
"1412","11","Colorectal, Bladder, and Other Cancers"
"1413","11","Colorectal, Bladder, and Other Cancers"
"1414","11","Colorectal, Bladder, and Other Cancers"
"1415","11","Colorectal, Bladder, and Other Cancers"
"1416","11","Colorectal, Bladder, and Other Cancers"
"1418","11","Colorectal, Bladder, and Other Cancers"
"1419","11","Colorectal, Bladder, and Other Cancers"
"1420","11","Colorectal, Bladder, and Other Cancers"
"1421","11","Colorectal, Bladder, and Other Cancers"
"1422","11","Colorectal, Bladder, and Other Cancers"
"1428","11","Colorectal, Bladder, and Other Cancers"
"1429","11","Colorectal, Bladder, and Other Cancers"
"1430","11","Colorectal, Bladder, and Other Cancers"
"1431","11","Colorectal, Bladder, and Other Cancers"
"1438","11","Colorectal, Bladder, and Other Cancers"
"1439","11","Colorectal, Bladder, and Other Cancers"
"1440","11","Colorectal, Bladder, and Other Cancers"
"1441","11","Colorectal, Bladder, and Other Cancers"
"1448","11","Colorectal, Bladder, and Other Cancers"
"1449","11","Colorectal, Bladder, and Other Cancers"
"1450","11","Colorectal, Bladder, and Other Cancers"
"1451","11","Colorectal, Bladder, and Other Cancers"
"1452","11","Colorectal, Bladder, and Other Cancers"
"1453","11","Colorectal, Bladder, and Other Cancers"
"1454","11","Colorectal, Bladder, and Other Cancers"
"1455","11","Colorectal, Bladder, and Other Cancers"
"1456","11","Colorectal, Bladder, and Other Cancers"
"1458","11","Colorectal, Bladder, and Other Cancers"
"1459","11","Colorectal, Bladder, and Other Cancers"
"1460","11","Colorectal, Bladder, and Other Cancers"
"1461","11","Colorectal, Bladder, and Other Cancers"
"1462","11","Colorectal, Bladder, and Other Cancers"
"1463","11","Colorectal, Bladder, and Other Cancers"
"1464","11","Colorectal, Bladder, and Other Cancers"
"1465","11","Colorectal, Bladder, and Other Cancers"
"1466","11","Colorectal, Bladder, and Other Cancers"
"1467","11","Colorectal, Bladder, and Other Cancers"
"1468","11","Colorectal, Bladder, and Other Cancers"
"1469","11","Colorectal, Bladder, and Other Cancers"
"1470","11","Colorectal, Bladder, and Other Cancers"
"1471","11","Colorectal, Bladder, and Other Cancers"
"1472","11","Colorectal, Bladder, and Other Cancers"
"1473","11","Colorectal, Bladder, and Other Cancers"
"1478","11","Colorectal, Bladder, and Other Cancers"
"1479","11","Colorectal, Bladder, and Other Cancers"
"1480","11","Colorectal, Bladder, and Other Cancers"
"1481","11","Colorectal, Bladder, and Other Cancers"
"1482","11","Colorectal, Bladder, and Other Cancers"
"1483","11","Colorectal, Bladder, and Other Cancers"
"1488","11","Colorectal, Bladder, and Other Cancers"
"1489","11","Colorectal, Bladder, and Other Cancers"
"1490","11","Colorectal, Bladder, and Other Cancers"
"1491","11","Colorectal, Bladder, and Other Cancers"
"1498","11","Colorectal, Bladder, and Other Cancers"
"1499","11","Colorectal, Bladder, and Other Cancers"
"1530","11","Colorectal, Bladder, and Other Cancers"
"1531","11","Colorectal, Bladder, and Other Cancers"
"1532","11","Colorectal, Bladder, and Other Cancers"
"1533","11","Colorectal, Bladder, and Other Cancers"
"1534","11","Colorectal, Bladder, and Other Cancers"
"1535","11","Colorectal, Bladder, and Other Cancers"
"1536","11","Colorectal, Bladder, and Other Cancers"
"1537","11","Colorectal, Bladder, and Other Cancers"
"1538","11","Colorectal, Bladder, and Other Cancers"
"1539","11","Colorectal, Bladder, and Other Cancers"
"1540","11","Colorectal, Bladder, and Other Cancers"
"1541","11","Colorectal, Bladder, and Other Cancers"
"1542","11","Colorectal, Bladder, and Other Cancers"
"1543","11","Colorectal, Bladder, and Other Cancers"
"1548","11","Colorectal, Bladder, and Other Cancers"
"1590","11","Colorectal, Bladder, and Other Cancers"
"1591","11","Colorectal, Bladder, and Other Cancers"
"1598","11","Colorectal, Bladder, and Other Cancers"
"1599","11","Colorectal, Bladder, and Other Cancers"
"1600","11","Colorectal, Bladder, and Other Cancers"
"1601","11","Colorectal, Bladder, and Other Cancers"
"1602","11","Colorectal, Bladder, and Other Cancers"
"1603","11","Colorectal, Bladder, and Other Cancers"
"1604","11","Colorectal, Bladder, and Other Cancers"
"1605","11","Colorectal, Bladder, and Other Cancers"
"1608","11","Colorectal, Bladder, and Other Cancers"
"1609","11","Colorectal, Bladder, and Other Cancers"
"1610","11","Colorectal, Bladder, and Other Cancers"
"1611","11","Colorectal, Bladder, and Other Cancers"
"1612","11","Colorectal, Bladder, and Other Cancers"
"1613","11","Colorectal, Bladder, and Other Cancers"
"1618","11","Colorectal, Bladder, and Other Cancers"
"1619","11","Colorectal, Bladder, and Other Cancers"
"1640","11","Colorectal, Bladder, and Other Cancers"
"1641","11","Colorectal, Bladder, and Other Cancers"
"1642","11","Colorectal, Bladder, and Other Cancers"
"1643","11","Colorectal, Bladder, and Other Cancers"
"1648","11","Colorectal, Bladder, and Other Cancers"
"1649","11","Colorectal, Bladder, and Other Cancers"
"1650","11","Colorectal, Bladder, and Other Cancers"
"1658","11","Colorectal, Bladder, and Other Cancers"
"1659","11","Colorectal, Bladder, and Other Cancers"
"1800","11","Colorectal, Bladder, and Other Cancers"
"1801","11","Colorectal, Bladder, and Other Cancers"
"1808","11","Colorectal, Bladder, and Other Cancers"
"1809","11","Colorectal, Bladder, and Other Cancers"
"1840","11","Colorectal, Bladder, and Other Cancers"
"1841","11","Colorectal, Bladder, and Other Cancers"
"1842","11","Colorectal, Bladder, and Other Cancers"
"1843","11","Colorectal, Bladder, and Other Cancers"
"1844","11","Colorectal, Bladder, and Other Cancers"
"1848","11","Colorectal, Bladder, and Other Cancers"
"1849","11","Colorectal, Bladder, and Other Cancers"
"1880","11","Colorectal, Bladder, and Other Cancers"
"1881","11","Colorectal, Bladder, and Other Cancers"
"1882","11","Colorectal, Bladder, and Other Cancers"
"1883","11","Colorectal, Bladder, and Other Cancers"
"1884","11","Colorectal, Bladder, and Other Cancers"
"1885","11","Colorectal, Bladder, and Other Cancers"
"1886","11","Colorectal, Bladder, and Other Cancers"
"1887","11","Colorectal, Bladder, and Other Cancers"
"1888","11","Colorectal, Bladder, and Other Cancers"
"1889","11","Colorectal, Bladder, and Other Cancers"
"1890","11","Colorectal, Bladder, and Other Cancers"
"1891","11","Colorectal, Bladder, and Other Cancers"
"1892","11","Colorectal, Bladder, and Other Cancers"
"1893","11","Colorectal, Bladder, and Other Cancers"
"1894","11","Colorectal, Bladder, and Other Cancers"
"1898","11","Colorectal, Bladder, and Other Cancers"
"1899","11","Colorectal, Bladder, and Other Cancers"
"27700","110","Cystic Fibrosis"
"27701","110","Cystic Fibrosis"
"27702","110","Cystic Fibrosis"
"27703","110","Cystic Fibrosis"
"27709","110","Cystic Fibrosis"
"4910","111","Chronic Obstructive Pulmonary Disease"
"4911","111","Chronic Obstructive Pulmonary Disease"
"49120","111","Chronic Obstructive Pulmonary Disease"
"49121","111","Chronic Obstructive Pulmonary Disease"
"49122","111","Chronic Obstructive Pulmonary Disease"
"4918","111","Chronic Obstructive Pulmonary Disease"
"4919","111","Chronic Obstructive Pulmonary Disease"
"4920","111","Chronic Obstructive Pulmonary Disease"
"4928","111","Chronic Obstructive Pulmonary Disease"
"49320","111","Chronic Obstructive Pulmonary Disease"
"49321","111","Chronic Obstructive Pulmonary Disease"
"49322","111","Chronic Obstructive Pulmonary Disease"
"496","111","Chronic Obstructive Pulmonary Disease"
"5181","111","Chronic Obstructive Pulmonary Disease"
"5182","111","Chronic Obstructive Pulmonary Disease"
"135","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"4940","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"4941","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"4950","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"4951","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"4952","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"4953","112","Fibrosis of Lung and Other Chronic Lung Disorders"
